"Save & Approve","Save & Approve"
"Save & Reject","Save & Reject"
"Edit Request '%1'","Edit Request '%1'"
"New Request","New Request"
General,General
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Customer Phone","Customer Phone"
"Product Name","Product Name"
SKU,SKU
"Original Price","Original Price"
"Your Committed Min. Qty","Your Committed Min. Qty"
"Bargain Price","Bargain Price"
"Store View","Store View"
"Submitted Date","Submitted Date"
Status,Status
"Order ID","Order ID"
None,None
Message,Message
"Customer's Message","Customer's Message"
"Admin's Response","Admin's Response"
"The admin's response will be sent to customers via email when the admin clicks on ""Save & Approve"" or ""Save & Reject""","The admin's response will be sent to customers via email when the admin clicks on ""Save & Approve"" or ""Save & Reject"""
"Name Your Price","Name Your Price"
"Request Information","Request Information"
"This bargain no longer exists.","This bargain no longer exists."
"This price lasts for %1 days.","This price lasts for %1 days."
"The bargain has been deleted.","The bargain has been deleted."
"Bargain to delete was not found.","Bargain to delete was not found."
"This request no longer exists.","This request no longer exists."
"Edit Bargain Price","Edit Bargain Price"
"Bargain Requests List","Bargain Requests List"
"Cannot approve the bargain request ID %1. It has been approved/rejected, closed or cancelled by customer","Cannot approve the bargain request ID %1. It has been approved/rejected, closed or cancelled by customer"
"A total of %1 record(s) have been approved.","A total of %1 record(s) have been approved."
"Something went wrong while deleting. %1","Something went wrong while deleting. %1"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Cannot reject the bargain request ID %1. It has been approved/rejected, closed or cancelled by customer","Cannot reject the bargain request ID %1. It has been approved/rejected, closed or cancelled by customer"
"A total of %1 record(s) have been rejected.","A total of %1 record(s) have been rejected."
"The bargain has been approved.","The bargain has been approved."
"The request has been rejected.","The request has been rejected."
"You saved the request.","You saved the request."
"My Bargain Prices","My Bargain Prices"
"This email has bargained for this product.","This email has bargained for this product."
"This request has been sent to the admin. Please wait for the response.","This request has been sent to the admin. Please wait for the response."
"Invalid Form Key.","Invalid Form Key."
Approved,Approved
"Rejected by Admin","Rejected by Admin"
