"RMA Request","RMA Request"
Save,Save
"Save and Continue Edit","Save and Continue Edit"
"Credit Memo","Credit Memo"
Reorder,Reorder
"Edit Request","Edit Request"
"New Request","New Request"
"Status RMA","Status RMA"
"Return Shipping Label","Return Shipping Label"
Comment,Comment
"Order Information","Order Information"
"Customer Name","Customer Name"
Email,Email
"Store View","Store View"
"RMA Information","RMA Information"
Conversation,Conversation
Reply,Reply
Loading,Loading
"Order Increment ID","Order Increment ID"
"View Order","View Order"
Load,Load
Select,Select
"All Files","All Files"
"Add New Files","Add New Files"
"Order ID","Order ID"
"Increment ID","Increment ID"
"Customer Email","Customer Email"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
Position,Position
"From: ","From: "
"All Store Views","All Store Views"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","New Rule"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
Conditions,Conditions
Condition,Condition
"General Information","General Information"
Name,Name
Status,Status
Description,Description
Website,Website
"Customer Group","Customer Group"
Priority,Priority
General,General
Reason,Reason
"There are no RMA reasons.","There are no RMA reasons."
Solution,Solution
"There are no RMA solutions.","There are no RMA solutions."
"Additional Information","Additional Information"
"There are no RMA additional information.","There are no RMA additional information."
"Rule Information","Rule Information"
"Edit Shipping Label '%1'","Edit Shipping Label '%1'"
"New Shipping Label","New Shipping Label"
"Return Address Conditions (Leave empty to apply for all request)","Return Address Conditions (Leave empty to apply for all request)"
"Return Shipping Address","Return Shipping Address"
"Store View(s)","Store View(s)"
Image,Image
"Barcode Value","Barcode Value"
Information,Information
"Show Default Template","Show Default Template"
"Default Template","Default Template"
"Default Label","Default Label"
"Default Shipping Label for All Store Views","Default Shipping Label for All Store Views"
"Store View Specific Labels","Store View Specific Labels"
Label,Label
"Shipping Label Information","Shipping Label Information"
"Edit Status '%1'","Edit Status '%1'"
"New Status","New Status"
"Enable Default Comment","Enable Default Comment"
"Default Comment","Default Comment"
"Default Comment for All Store Views","Default Comment for All Store Views"
