"sku","eta"
"alg11631010fr001","2023-12-07 00:00:00"
"sea77265en3710","2023-10-31 00:00:00"
"alg11632010fr001","2023-12-07 00:00:00"
"alg11778010fr001","2023-12-07 00:00:00"
"alg11779010fr001","2023-12-07 00:00:00"
"alg034350010fr001","2023-12-07 00:00:00"
"alg034351010fr001","2023-12-07 00:00:00"
"alg034832046fr001","2023-12-07 00:00:00"
"alg11782010fr001","2023-12-07 00:00:00"
"alg11722010fr001","2023-12-07 00:00:00"
"alg035555010fr001","2023-12-01 00:00:00"
"alg036855010fr001","2023-12-07 00:00:00"
"alg037773038fr001","2023-12-07 00:00:00"
"alg031953010fr001","2023-12-07 00:00:00"
"alg037054014fr001","2023-12-07 00:00:00"
"alg036557010fr001","2023-12-07 00:00:00"
"alg036657010fr001","2023-12-07 00:00:00"
"alg012174010fr001","2023-12-07 00:00:00"
"alg11760010fr105","2023-12-07 00:00:00"
"alg11762010fr105","2023-12-07 00:00:00"
"alg020573010fr001","2023-12-07 00:00:00"
"alg021053010fr001","2023-12-07 00:00:00"
"alg026350010fr000","2023-12-07 00:00:00"
"alg026352010fr000","2023-12-07 00:00:00"
"alg029850038fr001","2023-12-07 00:00:00"
"alg030650010fr001","2023-12-07 00:00:00"
"alg026320010fr000","2023-11-20 00:00:00"
"crystalw6093","2023-12-07 00:00:00"
"alg11196010fr001","2023-12-07 00:00:00"
"crystal6091","2023-12-07 00:00:00"
"sea4418504en305","2023-10-31 00:00:00"
"alg028251010fr001","2023-12-07 00:00:00"
"alg026220010fr001","2023-12-07 00:00:00"
"alg030652010fr001","2023-12-07 00:00:00"
"alg031322010fr001","2023-12-07 00:00:00"
"klc506152vsl","2023-12-07 00:00:00"
"klc513645bwb","2023-11-20 00:00:00"
"klc514555gld","2023-12-07 00:00:00"
"klc514691gld","2023-12-07 00:00:00"
"klc6271psn","2023-12-07 00:00:00"
"klc6272psn","2023-12-07 00:00:00"
"klc7048fg","2023-12-07 00:00:00"
"klc9163pd","2023-11-17 00:00:00"
"alg029851038fr001","2023-11-20 00:00:00"
"alg030257010","2023-11-20 00:00:00"
"crystal6069","2023-11-20 00:00:00"
"alg033651014fr001","2023-11-20 00:00:00"
"alg028254010fr001","2023-12-07 00:00:00"
"alg034860046fr001","2023-12-07 00:00:00"
"klc514891gd","2023-12-07 00:00:00"
"crystal6139","2023-12-07 00:00:00"
"alg012172045fr001","2023-12-01 00:00:00"
"alg033252014fr001","2023-12-07 00:00:00"
"alg033260014fr001","2023-12-07 00:00:00"
"alg028253010fr001","2023-12-27 00:00:00"
"alg030651010fr001","2023-11-20 00:00:00"
"klc504921mi","2023-12-07 00:00:00"
"alg012121010fr001","2023-12-07 00:00:00"
"crystal6110","2023-12-07 00:00:00"
"alg037345052fr001","2023-12-07 00:00:00"
"alg030258010","2023-12-27 00:00:00"
"crystal6071","2023-12-27 00:00:00"
"klc509191osl","2023-12-07 00:00:00"
"klc514921mb","2023-11-20 00:00:00"
"klc514955mb","2023-12-07 00:00:00"
"klc514961mb","2023-12-07 00:00:00"
"klc514962mb","2023-12-07 00:00:00"
"klc515091ol","2023-12-07 00:00:00"
"klc515256mb","2023-12-07 00:00:00"
"klc515261mb","2023-12-07 00:00:00"
"klc515345mb","2023-12-07 00:00:00"
"klc515355mb","2023-12-07 00:00:00"
"klc515361mb","2023-12-07 00:00:00"
"klc515461mb","2023-12-07 00:00:00"
"klc515541mb","2023-12-07 00:00:00"
"klc515556mb","2023-12-07 00:00:00"
"klc515561mb","2023-12-07 00:00:00"
"alg028210010fr001","2023-12-07 00:00:00"
"alg033970044fr001","2023-12-07 00:00:00"
"alg036150052fr001","2023-12-07 00:00:00"
"klc514956mb","2023-12-07 00:00:00"
"klc515021ol","2023-12-07 00:00:00"
"klc9422bb","2023-12-07 00:00:00"
"alg012121045fr001","2023-12-07 00:00:00"
"alg035721010fr001","2023-12-07 00:00:00"
"alg036555010fr001","2023-12-07 00:00:00"
"alg036556010fr001","2023-12-07 00:00:00"
"alg027920038fr001","2023-12-07 00:00:00"
"alg037951010fr001","2023-12-07 00:00:00"
"alg037952010fr001","2023-12-07 00:00:00"
"crystal6142","2023-12-07 00:00:00"
"klc6607ez","2023-11-09 00:00:00"
"crystalw7951","2023-12-07 00:00:00"
"crystalw7970","2023-12-07 00:00:00"
"crystalw7952","2023-12-07 00:00:00"
"crystalw7950","2023-12-07 00:00:00"
"sea3280409en846","2023-10-31 00:00:00"
"sea5240603en12","2023-10-31 00:00:00"
"sea8262en46","2023-10-31 00:00:00"
"sea8459en46","2023-10-31 00:00:00"
"sea44808en3962","2023-10-31 00:00:00"
"sea49119en3962","2023-10-31 00:00:00"
"sea5224503en3710","2023-10-31 00:00:00"
"sea66160en305","2023-10-31 00:00:00"
"sea8236301en371","2023-10-31 00:00:00"
"sea8247901en312","2023-10-31 00:00:00"
"sea8462den344","2023-10-31 00:00:00"
"sea89937en312","2023-11-28 00:00:00"
"sea88243en312","2023-10-31 00:00:00"
"sea88244en3780","2023-10-31 00:00:00"
"sea8436301en312","2023-10-31 00:00:00"
"sea6513703en3962","2023-10-31 00:00:00"
"sea3139012en3962","2023-10-31 00:00:00"
"sea4130701en3710","2023-10-31 00:00:00"
"sea4430702en3710","2023-10-31 00:00:00"
"sea4430704en3710","2023-10-31 00:00:00"
"sea60531en3746","2023-10-31 00:00:00"
"sea5134504en710","2023-10-31 00:00:00"
"sea5234508en710","2023-10-31 00:00:00"
"sea5234508en848","2023-10-31 00:00:00"
"sea5234508en872","2023-10-31 00:00:00"
"sea5234508en962","2023-10-31 00:00:00"
"sea8593001en315","2023-10-31 00:00:00"
"sea3139803en3710","2023-10-31 00:00:00"
"sea3139805en3710","2023-10-31 00:00:00"
"sea3139809en3710","2023-10-31 00:00:00"
"sea3139812en3710","2023-10-31 00:00:00"
"sea3139812en3962","2023-10-31 00:00:00"
"sea3121603en3710","2023-10-31 00:00:00"
"sea3121609en3710","2023-10-31 00:00:00"
"sea3121612en3962","2023-10-31 00:00:00"
"sea5134903en710","2023-10-31 00:00:00"
"sea8238651en312","2023-10-31 00:00:00"
"sea8738751en312","2023-10-31 00:00:00"
"sea8738751en371","2023-10-31 00:00:00"
"sea8838751en371","2023-10-31 00:00:00"
"sea8552701en371","2023-10-31 00:00:00"
"sea8790901d71","2023-10-31 00:00:00"
"sea8890901d12","2024-02-07 00:00:00"
"sea8890901d71","2023-10-31 00:00:00"
"sea8890901den371","2023-10-31 00:00:00"
"sea8890901en371","2023-10-31 00:00:00"
"kic8116oz","2023-10-28 00:00:00"
"alg025740010fr001","2023-12-07 00:00:00"
"kic45392bk","2023-11-17 00:00:00"
"far239746","2023-11-17 00:00:00"
"sea6634507en710","2023-10-31 00:00:00"
"sea83057en312","2023-12-05 00:00:00"
"farw240800","2023-11-09 00:00:00"
"farw240803","2023-12-07 00:00:00"
"sea3113708en3962","2023-10-31 00:00:00"
"sea3187204en965","2023-11-07 00:00:00"
"sea6528803en3710","2023-10-31 00:00:00"
"sea6590501en3112","2023-11-07 00:00:00"
"sea66160en3112","2023-10-31 00:00:00"
"sea7579452en3848","2023-11-07 00:00:00"
"sea7579452en3965","2023-12-05 00:00:00"
"sea77063en315","2023-11-07 00:00:00"
"sea77065en3112","2023-10-31 00:00:00"
"sea8620701en371","2023-12-20 00:00:00"
"sea3102803en3112","2023-11-07 00:00:00"
"sea3102805en3710","2023-11-07 00:00:00"
"sea3102809en3710","2023-11-07 00:00:00"
"sea3102809en3848","2023-11-07 00:00:00"
"sea31162en3112","2023-10-31 00:00:00"
"sea3120209en3710","2023-10-31 00:00:00"
"sea3124303en05","2023-11-07 00:00:00"
"sea3124303en962","2023-11-07 00:00:00"
"sea3128803en3710","2023-10-31 00:00:00"
"sea3128809en3710","2023-10-31 00:00:00"
"sea3128905en3710","2024-01-16 00:00:00"
"sea3128905en3962","2023-10-31 00:00:00"
"sea3137303en3710","2024-06-05 00:00:00"
"sea3139003en3710","2023-10-31 00:00:00"
"sea3139005en3710","2023-10-31 00:00:00"
"sea3139012en3710","2023-10-31 00:00:00"
"sea3190309en05","2023-10-31 00:00:00"
"sea3220205en3962","2023-10-31 00:00:00"
"sea3287204en962","2023-11-07 00:00:00"
"sea4120201en305","2023-10-31 00:00:00"
"sea4128901en3962","2023-10-31 00:00:00"
"sea4415204en3710","2023-10-31 00:00:00"
"sea4428902en305","2023-10-31 00:00:00"
"sea4428902en3112","2023-10-31 00:00:00"
"sea4428902en3710","2023-10-31 00:00:00"
"sea4428904en3112","2023-10-31 00:00:00"
"sea4439002en3710","2023-10-31 00:00:00"
"sea44806en305","2023-10-31 00:00:00"
"sea44806en3710","2023-10-31 00:00:00"
"sea44807en3710","2023-10-31 00:00:00"
"sea44808en3710","2023-10-31 00:00:00"
"sea5134503en848","2023-10-31 00:00:00"
"sea5134504en848","2023-10-31 00:00:00"
"sea5134508en848","2023-10-31 00:00:00"
"sea5134508en962","2023-10-31 00:00:00"
"sea5134903en05","2023-10-31 00:00:00"
"sea5179453en962","2023-11-07 00:00:00"
"sea5191004en962","2023-11-07 00:00:00"
"sea5191004en965","2023-11-07 00:00:00"
"sea5279404en962","2023-11-07 00:00:00"
"sea5279453en962","2023-11-07 00:00:00"
"sea5279454en962","2023-11-07 00:00:00"
"sea5340604en710","2023-10-31 00:00:00"
"sea5692605en112","2024-02-01 00:00:00"
"sea6102801en3710","2023-11-07 00:00:00"
"sea6514401en3848","2023-10-31 00:00:00"
"sea6516501en305","2023-10-31 00:00:00"
"sea6526303en872","2023-10-31 00:00:00"
"sea6590501en3962","2023-12-13 00:00:00"
"sea6615203en3710","2023-10-31 00:00:00"
"sea6628003en3710","2023-10-31 00:00:00"
"sea6651701en305","2023-10-31 00:00:00"
"sea6651801en305","2023-10-31 00:00:00"
"sea6701801en7848","2023-10-31 00:00:00"
"sea7679454en3848","2023-11-07 00:00:00"
"sea7679454en3962","2023-11-07 00:00:00"
"sea77063en3112","2023-10-31 00:00:00"
"sea7716502en3710","2023-10-31 00:00:00"
"sea7716503en3710","2023-10-31 00:00:00"
"sea7716504en3112","2023-10-31 00:00:00"
"sea8238751en371","2023-10-31 00:00:00"
"sea8248401en371","2023-11-07 00:00:00"
"sea831380110t","2023-10-31 00:00:00"
"sea8438751en371","2023-10-31 00:00:00"
"sea8638751en312","2023-10-31 00:00:00"
"sea8638751en371","2023-10-31 00:00:00"
"sea8718301en304","2023-10-31 00:00:00"
"sea8748401en312","2023-11-07 00:00:00"
"sea8748401en371","2023-11-07 00:00:00"
"klc9002bb","2023-12-01 00:00:00"
"alg027620010fr001","2023-12-07 00:00:00"
"alg11272010fr001","2023-12-07 00:00:00"
"alg027620038fr001","2023-12-07 00:00:00"
"kic49926oz","2023-11-01 00:00:00"
"crystalw7965","2023-12-07 00:00:00"
"crystal6109","2023-12-07 00:00:00"
"klc505554bi","2023-12-07 00:00:00"
"klc506141vsl","2023-12-07 00:00:00"
"sea4123en315","2023-10-31 00:00:00"
"sea5134908en710","2023-10-31 00:00:00"
"sea6020en304","2023-10-31 00:00:00"
"sea4411602en3710","2023-10-31 00:00:00"
"sea7546701en371","2023-10-31 00:00:00"
"sea31162en3710","2023-10-31 00:00:00"
"sea3121612en3710","2023-10-31 00:00:00"
"alg028541017fr001","2023-12-27 00:00:00"
"alg033610014fr001","2023-12-07 00:00:00"
"alg026221018fr001","2023-12-01 00:00:00"
"alg028540017fr001","2023-12-27 00:00:00"
"alg020973010fr001","2023-12-07 00:00:00"
"farw242018","2023-12-07 00:00:00"
"sea82240en3780","2023-10-31 00:00:00"
"sea84532en3746","2023-10-31 00:00:00"
"alg020243010fr001","2023-12-07 00:00:00"
"sea3113209en3715","2023-10-31 00:00:00"
"sea7513702en3962","2023-10-31 00:00:00"
"alg11276010fr001","2023-12-07 00:00:00"
"alg030256038","2023-12-07 00:00:00"
"klc513673bwb","2023-12-01 00:00:00"
"crystal6068","2023-12-07 00:00:00"
"sea75446en3710","2023-10-31 00:00:00"
"alg11663010fr001","2023-12-07 00:00:00"
"alg012170010fr001","2023-12-07 00:00:00"
"alg028753017fr001","2023-12-07 00:00:00"
"alg027621010fr001","2023-12-07 00:00:00"
"alg035320010fr001","2023-12-07 00:00:00"
"alg035920003fr001","2023-12-07 00:00:00"
"alg035558010fr001","2023-12-07 00:00:00"
"alg030232010","2023-12-07 00:00:00"
"alg036551010fr001","2023-12-07 00:00:00"
"alg028252010fr001","2023-12-27 00:00:00"
"sea77160en3112","2023-10-31 00:00:00"
"crystal6079","2023-12-07 00:00:00"
"crystal6094","2023-12-07 00:00:00"
"crystal6104","2023-12-07 00:00:00"
"crystal6145","2023-12-07 00:00:00"
"crystal6052","2023-12-07 00:00:00"
"sea4124501en3962","2023-10-31 00:00:00"
"alg11715010fr001","2023-12-07 00:00:00"
"klc6311ps","2023-12-07 00:00:00"
"klc6312ps","2023-12-07 00:00:00"
"sea8238651en371","2023-10-31 00:00:00"
"sea3128805en3710","2023-10-31 00:00:00"
"klc7040fg","2023-12-07 00:00:00"
"klc7042fg","2023-12-15 00:00:00"
"farw240801","2023-12-07 00:00:00"
"alg11197010fr001","2023-12-07 00:00:00"
"alg11639010fr001","2023-12-07 00:00:00"
"alg029441010fr001","2023-11-20 00:00:00"
"alg11196038fr001","2023-12-07 00:00:00"
"alg11197038fr001","2023-11-09 00:00:00"
"alg035061010fr001","2023-12-07 00:00:00"
"alg037458014fr001","2023-12-07 00:00:00"
"alg031951010fr001","2023-12-07 00:00:00"
"alg036661010fr001","2023-12-07 00:00:00"
"alg11425010fr001","2023-12-07 00:00:00"
"alg025741018fr001","2023-12-07 00:00:00"
"sea3113704en3962","2023-10-31 00:00:00"
"crystalw7955","2023-12-07 00:00:00"
"crystal6116","2023-12-07 00:00:00"
"klc9017mb","2023-12-27 00:00:00"
"klc9007mb","2023-12-07 00:00:00"
"klc9012bb","2023-12-07 00:00:00"
"klc9417bb","2023-12-07 00:00:00"
"klc9413mb","2023-12-07 00:00:00"
"klc9002mb","2023-12-07 00:00:00"
"klc2893vi","2023-12-01 00:00:00"
"klc2894vi","2023-12-01 00:00:00"
"klc2913ac","2023-12-07 00:00:00"
"klc4651sn","2023-12-07 00:00:00"
"klc6311ac","2023-11-17 00:00:00"
"klc6312ac","2023-12-01 00:00:00"
"klc6314ac","2023-12-01 00:00:00"
"klc7045fg","2023-12-07 00:00:00"
"klc9003bb","2023-12-07 00:00:00"
"klc9007bb","2023-12-07 00:00:00"
"klc9012mb","2023-12-07 00:00:00"
"klc300480ch","2023-12-07 00:00:00"
"klc300481ch","2023-12-07 00:00:00"
"klc300482ch","2023-12-07 00:00:00"
"klc300484ch","2023-12-27 00:00:00"
"klc400601mz","2023-12-07 00:00:00"
"klc400621mz","2023-11-06 00:00:00"
"klc400650bd","2023-11-06 00:00:00"
"klc400650mz","2023-12-07 00:00:00"
"klc500253fg","2023-12-07 00:00:00"
"klc500522ch","2023-12-07 00:00:00"
"klc501140sm","2023-12-07 00:00:00"
"klc312132vbz","2023-12-07 00:00:00"
"klc313533brb","2023-12-07 00:00:00"
"klc504152bzg","2023-12-07 00:00:00"
"klc504160bzg","2023-12-07 00:00:00"
"klc6313ps","2023-12-07 00:00:00"
"klc6314ps","2023-12-07 00:00:00"
"klc310472wvb","2023-12-07 00:00:00"
"klc315410bpn","2023-12-07 00:00:00"
"klc315531sn","2023-12-07 00:00:00"
"klc315532ch","2023-11-20 00:00:00"
"klc315534ch","2023-11-20 00:00:00"
"klc504821bs","2023-12-07 00:00:00"
"klc504841bs","2023-12-07 00:00:00"
"klc505553bi","2023-12-07 00:00:00"
"klc505420ol","2023-11-04 00:00:00"
"klc507771bi","2023-12-07 00:00:00"
"klc507720bi","2023-12-01 00:00:00"
"klc507760bi","2023-12-07 00:00:00"
"klc505271rm","2023-11-04 00:00:00"
"klc506451mg","2023-12-07 00:00:00"
"klc506452mg","2023-12-07 00:00:00"
"klc305034pn","2023-12-27 00:00:00"
"klc507621ol","2023-12-15 00:00:00"
"klc507651ol","2023-12-07 00:00:00"
"klc311731wb","2023-11-20 00:00:00"
"klc311750wb","2023-12-07 00:00:00"
"klc311751wb","2023-12-27 00:00:00"
"klc316333gn","2023-12-07 00:00:00"
"klc316334gn","2023-12-07 00:00:00"
"klc404451fg","2023-12-07 00:00:00"
"klc404850cm","2023-12-07 00:00:00"
"klc404851cm","2023-12-07 00:00:00"
"klc506220mgm","2023-12-07 00:00:00"
"klc507541bi","2023-12-07 00:00:00"
"klc507920bmg","2024-01-23 00:00:00"
"klc508220hb","2023-12-07 00:00:00"
"klc508532bpn","2023-12-07 00:00:00"
"klc508533bpn","2023-12-07 00:00:00"
"klc508534bpn","2023-12-07 00:00:00"
"klc508535bpn","2023-12-07 00:00:00"
"klc409352bm","2023-12-07 00:00:00"
"klc508620pn","2023-12-07 00:00:00"
"klc508640pn","2023-12-07 00:00:00"
"klc508650pn","2023-12-07 00:00:00"
"klc508660pn","2023-12-07 00:00:00"
"klc508670pn","2023-12-07 00:00:00"
"klc508920sz","2023-12-07 00:00:00"
"klc508932sz","2023-12-07 00:00:00"
"klc508961sz","2023-12-07 00:00:00"
"klc508970sz","2023-12-07 00:00:00"
"klc509232bi","2023-12-07 00:00:00"
"klc509234bi","2023-12-07 00:00:00"
"klc511550wb","2023-12-07 00:00:00"
"klc511560wb","2023-12-07 00:00:00"
"klc511622ch","2023-12-07 00:00:00"
"klc511660ch","2023-12-07 00:00:00"
"klc511671ch","2023-12-07 00:00:00"
"klc511672ch","2023-12-07 00:00:00"
"klc511675ch","2023-12-07 00:00:00"
"klc511721mg","2023-12-07 00:00:00"
"klc511771mg","2023-12-07 00:00:00"
"klc405122mb","2023-12-07 00:00:00"
"klc405221mb","2023-12-07 00:00:00"
"klc405222mb","2023-12-07 00:00:00"
"klc405321mbw","2023-12-07 00:00:00"
"klc405322mbw","2023-12-07 00:00:00"
"klc512555wb","2023-12-07 00:00:00"
"klc513021wb","2023-11-20 00:00:00"
"klc513022wb","2023-11-30 00:00:00"
"klc513061wb","2023-12-07 00:00:00"
"klc513071wb","2023-12-07 00:00:00"
"klc513072wb","2023-12-07 00:00:00"
"klc513073wb","2023-12-07 00:00:00"
"klc513131bnb","2023-12-07 00:00:00"
"klc513132bnb","2023-12-07 00:00:00"
"klc513141bnb","2023-12-07 00:00:00"
"klc513172bnb","2023-12-07 00:00:00"
"klc513241pn","2023-12-07 00:00:00"
"klc513252pn","2023-12-07 00:00:00"
"klc513255pn","2023-11-30 00:00:00"
"klc513311pn","2023-12-07 00:00:00"
"klc512112pn","2023-12-07 00:00:00"
"klc512141pn","2023-12-07 00:00:00"
"klc512141wb","2023-12-07 00:00:00"
"klc512142pn","2023-11-09 00:00:00"
"klc512142wb","2023-12-07 00:00:00"
"klc512155pn","2023-12-07 00:00:00"
"klc512156pn","2023-12-07 00:00:00"
"klc512156wb","2023-12-07 00:00:00"
"klc302831vbz","2023-12-07 00:00:00"
"klc302832sn","2023-12-07 00:00:00"
"klc302832vbz","2023-12-07 00:00:00"
"klc308432wb","2023-11-09 00:00:00"
"klc308434wb","2023-12-27 00:00:00"
"klc308435wb","2023-12-07 00:00:00"
"klc308470wb","2023-12-07 00:00:00"
"klc308471wb","2023-12-07 00:00:00"
"klc309510chaqua","2023-12-07 00:00:00"
"klc309510chclear","2023-12-07 00:00:00"
"klc309510chsapph","2023-12-07 00:00:00"
"klc309520chamber","2023-12-07 00:00:00"
"klc309520chaqua","2023-12-07 00:00:00"
"klc309520chclear","2023-12-07 00:00:00"
"klc309540chamber","2023-12-07 00:00:00"
"klc309540chaqua","2023-12-07 00:00:00"
"klc309540chclear","2023-12-07 00:00:00"
"klc309540chsapph","2023-12-07 00:00:00"
"klc309541chamber","2023-12-07 00:00:00"
"klc309541chaqua","2023-12-07 00:00:00"
"klc309541chclear","2023-12-07 00:00:00"
"klc309541chsapph","2023-12-07 00:00:00"
"klc310470sn","2023-12-07 00:00:00"
"klc310470wvb","2023-12-01 00:00:00"
"klc310471sn","2023-12-07 00:00:00"
"klc310472sn","2023-12-07 00:00:00"
"klc316431bm","2023-12-07 00:00:00"
"klc316433bm","2023-12-07 00:00:00"
"klc404422fg","2023-12-07 00:00:00"
"klc404500ai","2023-12-07 00:00:00"
"klc404520ai","2023-11-20 00:00:00"
"klc404522ai","2023-12-07 00:00:00"
"klc404921mb","2023-12-07 00:00:00"
"klc404922mb","2023-12-07 00:00:00"
"klc405021mb","2023-12-07 00:00:00"
"klc405022mb","2023-12-07 00:00:00"
"klc506822fg","2023-12-07 00:00:00"
"klc506840fg","2023-12-07 00:00:00"
"klc506851fg","2023-12-07 00:00:00"
"klc506873fg","2023-10-31 00:00:00"
"klc316531sn","2023-12-07 00:00:00"
"klc316532sn","2023-12-07 00:00:00"
"klc316533sn","2023-12-07 00:00:00"
"klc316534sn","2023-12-07 00:00:00"
"klc316535sn","2023-12-07 00:00:00"
"klc509961wb","2023-12-07 00:00:00"
"klc512922pn","2023-12-07 00:00:00"
"klc512952pn","2023-12-07 00:00:00"
"klc512961pn","2023-12-07 00:00:00"
"klc512971pn","2023-11-20 00:00:00"
"klc512972pn","2023-12-07 00:00:00"
"klc513135bnb","2023-12-07 00:00:00"
"klc513136bnb","2023-12-07 00:00:00"
"klc513421bpn","2023-12-07 00:00:00"
"klc513471bpn","2023-12-07 00:00:00"
"klc513473bpn","2023-12-07 00:00:00"
"klc316732pn","2023-12-07 00:00:00"
"klc316734pn","2023-12-07 00:00:00"
"klc513771bnb","2023-12-07 00:00:00"
"klc513772bnb","2023-12-07 00:00:00"
"klc514022mb","2023-12-07 00:00:00"
"klc514045mb","2023-12-07 00:00:00"
"klc514051mb","2023-12-07 00:00:00"
"klc514071mb","2023-12-07 00:00:00"
"klc514122bpn","2023-11-30 00:00:00"
"klc514161bpn","2023-12-07 00:00:00"
"klc514171bpn","2023-12-07 00:00:00"
"klc514172bpn","2023-12-07 00:00:00"
"klc514173bpn","2023-12-07 00:00:00"
"klc514323nb","2023-12-07 00:00:00"
"klc514323pn","2023-12-07 00:00:00"
"klc514361nb","2023-12-07 00:00:00"
"klc514361pn","2023-12-07 00:00:00"
"klc514371nb","2023-12-07 00:00:00"
"klc514371pn","2023-12-07 00:00:00"
"klc514372nb","2023-12-07 00:00:00"
"klc514372pn","2023-12-07 00:00:00"
"klc514373nb","2023-12-07 00:00:00"
"klc514373pn","2023-12-07 00:00:00"
"klc1821ba1219","2023-12-07 00:00:00"
"klc300485ch","2023-12-07 00:00:00"
"klc304821cg","2023-12-07 00:00:00"
"klc304921cg","2023-12-07 00:00:00"
"klc304950cg","2023-12-07 00:00:00"
"klc306432sn","2023-12-07 00:00:00"
"klc306433sn","2023-12-07 00:00:00"
"klc306434sn","2023-12-07 00:00:00"
"klc307533sn","2023-12-07 00:00:00"
"klc309282vbr","2023-12-07 00:00:00"
"klc309283vbr","2023-12-07 00:00:00"
"klc309284vbr","2023-12-07 00:00:00"
"klc310472bvb","2023-12-07 00:00:00"
"klc311340pn","2023-12-07 00:00:00"
"klc311341pn","2023-12-07 00:00:00"
