"sku","qty"
"avamoderov36wt","0.0000"
"avamoderov48wt","0.0000"
"avawindsorv60wt","0.0000"
"avacum18wt","0.0000"
"avamadisonv48to","0.0000"
"avawindsorv36wt","0.0000"
"avawindsorv48wt","0.0000"
"avawindsorv72wt","0.0000"
"avabrentwoodv31nw","0.0000"
"avabrentwoodv49nw","0.0000"
"avamoderov60wt","0.0000"
"avamoderov60wta","0.0000"
"avabrentwoodvs31nwa","0.0000"
"avabrentwoodvs31nwc","0.0000"
"avabrentwoodvs49nwa","0.0000"
"avabrentwoodvs49nwc","0.0000"
"avamadisonvs36toa","0.0000"
"avamadisonvs36toc","0.0000"
"avamadisonvs48toa","0.0000"
"avamadisonvs48toc","0.0000"
"avamadisonvs60toa","0.0000"
"avamadisonvs60toc","0.0000"
"avamadisonvs72toa","0.0000"
"avamadisonvs72toc","0.0000"
"avawindsorvs36wta","0.0000"
"avawindsorvs36wtc","0.0000"
"avawindsorvs48wta","0.0000"
"avawindsorvs48wtc","0.0000"
"avawindsorvs60wta","0.0000"
"avawindsorvs60wtc","0.0000"
"avawindsorvs72wta","0.0000"
"avawindsorvs72wtc","0.0000"
"avabrooksv36cg","0.0000"
"avabrooksvs36cga","0.0000"
"avabrooksvs36cgc","0.0000"
"avabrooksvs36wta","0.0000"
"avabrooksvs36wtc","0.0000"
"avadelanovs24wtc","0.0000"
"avafws1501bn","0.0000"
"avafws1501cp","0.0000"
"avamoderov30wt","0.0000"
"avamoderov48cg","0.0000"
"avathompsonv36cl","0.0000"
"avathompsonv72fw","0.0000"
"avathompsonvs24cla","0.0000"
"avathompsonvs24clc","0.0000"
"avathompsonvs24fwa","0.0000"
"avathompsonvs24fwc","0.0000"
"avathompsonvs30cla","0.0000"
"avathompsonvs30clc","0.0000"
"avathompsonvs30fwa","0.0000"
"avathompsonvs30fwc","0.0000"
"avathompsonvs36cla","0.0000"
"avathompsonvs36clc","0.0000"
"avathompsonvs36fwa","0.0000"
"avathompsonvs36fwc","0.0000"
"avathompsonvs48cla","0.0000"
"avathompsonvs48clc","0.0000"
"avathompsonvs48fwa","0.0000"
"avathompsonvs48fwc","0.0000"
"avathompsonvs60cla","0.0000"
"avathompsonvs60clc","0.0000"
"avathompsonvs60fwa","0.0000"
"avathompsonvs60fwc","0.0000"
"avathompsonvs72cla","0.0000"
"avathompsonvs72clc","0.0000"
"avathompsonvs72fwa","0.0000"
"avathompsonvs72fwc","0.0000"
"wynwcs141480descmunom24","0.0000"
"wynwcs141480descmunom70","0.0000"
"wynwcs141480descmunomed","0.0000"
"wynwcs141480descmunomxx","0.0000"
"wynwcs141480dwhcmunom24","0.0000"
"wynwcs141480dwhcmunom70","0.0000"
"wynwcs141480dwhcmunomed","0.0000"
"wynwcs141480dwhcmunomxx","0.0000"
"wynwcobt100169","0.0000"
"wynwcobt100169atp11bn","0.0000"
"wynwcobt100169atp11pc","0.0000"
"wynwcobt100169bntrim","0.0000"
"wynwcs141430sescmunom24","0.0000"
"wynwcs141430sescmunomed","0.0000"
"wynwcs141430sescmunomxx","0.0000"
"wynwcs141430swhcmunom24","0.0000"
"wynwcs141430swhcmunomed","0.0000"
"wynwcs141430swhcmunomxx","0.0000"
"wynwcs141430sgycmunom24","0.0000"
"wynwcs141430sgycmunomed","0.0000"
"wynwcs141430sgycmunomxx","0.0000"
"wynwcs141480dgycmunom24","0.0000"
"wynwcs141480dgycmunom70","0.0000"
"wynwcs141480dgycmunomed","0.0000"
"wynwcs141480dgycmunomxx","0.0000"
"alg020242010fr001","0.0000"
"alg028541017fr001","0.0000"
"artac8096bk","0.0000"
"alg023554010fr001","0.0000"
"alg025946031fr001","0.0000"
"alg11237010fr001","0.0000"
"alg11638010fr001","0.0000"
"artac10145bu","0.0000"
"alg020940010fr001","0.0000"
"alg026942010fr001","0.0000"
"acl5187bksd","0.0000"
"acl5208bksd","0.0000"
"acl5226bksd","0.0000"
"artac8198bk","0.0000"
"artac606","0.0000"
"artja14025bk","0.0000"
"artac10884ch","0.0000"
"acl5067bk","0.0000"
"acl5061bw","0.0000"
"acl5180bw","0.0000"
"acl5516mm","0.0000"
"acl5511mm","0.0000"
"acl5521mm","0.0000"
"acl2127mm","0.0000"
"artac5660bk","0.0000"
"artac8630bk","0.0000"
"artac8631bz","0.0000"
"artac8641bk","0.0000"
"acl6117abz","0.0000"
"acl7604abz","0.0000"
"alg022720010fr001","0.0000"
"artac8290orb","0.0000"
"artac9071ob","0.0000"
"artsc13100bk","0.0000"
"artsc13101bk","0.0000"
"artsc13112bk","0.0000"
"aldall","0.0000"
"aldallrm","0.0000"
"artac8641","0.0000"
"dvidvp3943chop","0.0000"
"dvidvp4432orb","0.0000"
"dvidvp5863chcry","0.0000"
"cas59143","0.0000"
"cas59149","0.0000"
"cas59151","0.0000"
"crw5067p29c","0.0000"
"cas5318","0.0000"
"cas5914","0.0000"
"cas5916","0.0000"
"cas5951","0.0000"
"cas55068","0.0000"
"ele2800w1grc","0.0000"
"ele2800w1crc","0.0000"
"ele2800w1cgtrc","0.0000"
"ele2800w1ggtrc","0.0000"
"ele2801w1grc","0.0000"
"ele2801w1crc","0.0000"
"ele7804d15crc","0.0000"
"ele7804d15grc","0.0000"
"ele2801w1ggtrc","0.0000"
"ele2801w1cgtrc","0.0000"
"ele6801f9crc","0.0000"
"ele2528f8grc","0.0000"
"ele2528f8crc","0.0000"
"ele7834d17crc","0.0000"
"ele9800f10crc","0.0000"
"ele2800w2grc","0.0000"
"ele2800w2crc","0.0000"
"ele6801f12crc","0.0000"
"ele6801f12grc","0.0000"
"ele9601w5fgrc","0.0000"
"ele9601w5dbrc","0.0000"
"ele9601w5pwrc","0.0000"
"ele7804d15gsgsrc","0.0000"
"ele7804d15gtgtrc","0.0000"
"ele7804d15perc","0.0000"
"ele7804d15pkrorc","0.0000"
"ele7804d15rdrc","0.0000"
"ele7804d15ssssrc","0.0000"
"ele7804d15whwhrc","0.0000"
"ele2030w6crc","0.0000"
"ele2800w2ggtrc","0.0000"
"ele2800w2cgtrc","0.0000"
"ele2801w2grc","0.0000"
"ele2801w2crc","0.0000"
"ele1900w12crc","0.0000"
"ele1900w12grc","0.0000"
"ele1802w12grc","0.0000"
"ele1802w12crc","0.0000"
"ele1803w12grc","0.0000"
"ele1803w12crc","0.0000"
"ele8000w16grc","0.0000"
"ele8000w16crc","0.0000"
"ele1800w12crc","0.0000"
"ele1800w12grc","0.0000"
"ele9601w5fggtrc","0.0000"
"ele9601w5pwgtrc","0.0000"
